UBPR3230,UBPRE278,UBPRE279,UBPRE291,UBPR4340,UBPR7402,UBPR7414,UBPRE001,UBPRE002,UBPRE006,UBPRE008,UBPRE014,UBPRE015,UBPRE016,UBPRE017,UBPRE544,UBPRE549,UBPRE600,UBPRK447,UBPRD486,OTSREGNM_Central,OTSREGNM_Northeast,OTSREGNM_Southeast,OTSREGNM_West,OTSREGNM_Western,REGAGNT_FDIC,REGAGNT_FED,REGAGNT_OCC,SPECGRPN_Agricultural.Specialization,SPECGRPN_All.Other.Over.1.Billion,SPECGRPN_All.Other.Under.1.Billion,SPECGRPN_Commercial.Lending.Specialization,SPECGRPN_Consumer.Lending.Specialization,SPECGRPN_Credit.card.Specialization,SPECGRPN_International.Specialization,SPECGRPN_Mortgage.Lending.Specialization,SPECGRPN_Other.Specialized.Under.1.Billion
75,0,0,0,631,27.42,0.87,2.98,0.75,0.01,0,94.07,68.27,3.17,0.8,2.27,0.87,41.71,8.03,14.3379,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4286,0,0,0,1944,0,4.21,5.13,0.12,0.51,0,98.29,21.94,5.22,0.13,0,4.24,135.33,-21.93,44.6183,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
700,0,0,0,29532,0,1.79,6.65,0.82,0.46,0,95.64,74,6.95,0.86,0.8,2.21,104.52,28.47,13.5157,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
370,0,0,0,409,0.73,2.72,1.95,0.27,0,0,98.41,58.56,1.98,0.27,2.28,3.37,20,-34.91,21.4803,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
200,0,0,0,2510,56.77,0.03,2.9,0.32,0.02,0,98.81,67.83,2.94,0.32,0.42,0.03,42.63,14.1,8.5657,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
250,0,0,0,9488,8.43,0,3.69,0.36,-1.1,0,98.44,67.37,3.75,0.37,0.02,0,75.14,-11.8,14.4365,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
300,0,0,0,8027,0,1.85,4.25,0.28,0.33,-0.04,97.92,54.45,4.34,0.29,3.55,1.91,67.13,10.27,13.4896,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1000,0,0,0,2432,22.62,0.08,4.07,0.18,0.18,0,98.14,51.35,4.15,0.18,0.04,0.08,81.54,-0.55,14.8302,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
1000,158,158,0,6499,60.01,2.01,3.78,0.48,0.02,0,99.58,74.17,3.8,0.48,0.37,2.03,84.81,11.07,14.0208,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
390,0,0,0,15898,15.73,0.1,3.27,0.7,0,0,97.17,71.69,3.36,0.72,0.3,0.1,22.31,11.88,11.4215,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1,3220,3220,3220,79989,52.51,0.27,2.8,0.14,0.03,0,92.91,87.03,3.02,0.15,0.12,0.28,71.83,12.06,7.7755,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2044,0,0,0,4141,49.36,0.16,3.13,0.11,0.17,0,94.95,56.1,3.3,0.12,0.07,0.16,64.69,-9.45,10.1147,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
2737,0,0,0,1354,0,1.53,4.91,0.27,0,0,97.72,71.58,5.02,0.28,2.56,1.53,97.8,9.47,10.2931,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2000,0,0,0,496,50.4,0.17,2.74,0.13,0,-0.06,99.05,45.59,2.76,0.13,0.2,0.17,50,-18.72,8.712,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,3994,0,0.11,3.11,0.12,0.01,-0.07,93.91,79.26,3.32,0.13,0,0.11,77.76,-6.61,11.0924,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
3000,0,0,0,3544,80.42,0.35,2.94,0.45,0.07,0,96.37,72.3,3.05,0.47,0.75,0.36,49.01,2.63,6.7197,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
5400,0,0,0,50918,10.11,0.33,3.57,0.28,0.06,0,94,81.07,3.8,0.3,0.31,0.34,67.57,-12.76,8.7368,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
180,365,365,365,7587,23.59,0,3.45,0.68,0.24,0,97.64,76.7,3.54,0.69,0,0,95.95,45.32,11.6668,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
